id_fakta,id_waktu,kode_saham,harga_pembukaan,harga_penutupan,harga_tertinggi,harga_terendah,volume_transaksi
808,20230223,IHSG,0.6086956521739131,0.6380090497737557,0.6106194690265487,0.6343612334801761,109147100.0
809,20230224,IHSG,0.6304347826086958,0.6696832579185522,0.6415929203539823,0.6607929515418501,142165700.0
810,20230227,IHSG,0.6260869565217391,0.6334841628959277,0.6238938053097347,0.6475770925110133,66461600.0
811,20230228,IHSG,0.6000000000000001,0.5972850678733032,0.6106194690265487,0.629955947136564,115766900.0
812,20230103,IHSG,0.6000000000000001,0.6199095022624436,0.6194690265486726,0.6431718061674009,47395200.0
813,20230203,IHSG,0.5869565217391304,0.5972850678733032,0.5929203539823009,0.629955947136564,43208800.0
814,20230303,IHSG,0.5782608695652174,0.6063348416289595,0.5884955752212391,0.6255506607929516,49796000.0
815,20230603,IHSG,0.6043478260869566,0.5972850678733032,0.6017699115044248,0.6255506607929516,50103800.0
816,20230703,IHSG,0.5826086956521739,0.5972850678733032,0.584070796460177,0.6167400881057269,59086800.0
817,20230803,IHSG,0.5652173913043479,0.6244343891402716,0.597345132743363,0.6167400881057269,78551000.0
818,20230903,IHSG,0.6173913043478261,0.6380090497737557,0.6238938053097347,0.6651982378854625,68725500.0
819,20231003,IHSG,0.6130434782608696,0.6561085972850679,0.6327433628318584,0.6519823788546256,76136200.0
820,20230313,IHSG,0.6391304347826088,0.6832579185520363,0.6637168141592922,0.6740088105726872,104663300.0
821,20230314,IHSG,0.6434782608695653,0.6606334841628959,0.6637168141592922,0.682819383259912,111430100.0
822,20230315,IHSG,0.6521739130434783,0.6561085972850679,0.6460176991150444,0.6784140969162996,65025400.0
823,20230316,IHSG,0.6478260869565218,0.6742081447963802,0.6504424778761062,0.6740088105726872,96707900.0
824,20230317,IHSG,0.6695652173913045,0.6742081447963802,0.668141592920354,0.6960352422907489,232270900.0
825,20230320,IHSG,0.6521739130434783,0.6470588235294118,0.6460176991150444,0.656387665198238,105982700.0
826,20230321,IHSG,0.6304347826086958,0.7058823529411765,0.6769911504424779,0.682819383259912,88808200.0
827,20230324,IHSG,0.673913043478261,0.6832579185520363,0.6769911504424779,0.709251101321586,96214700.0
828,20230327,IHSG,0.673913043478261,0.6742081447963802,0.6769911504424779,0.6960352422907489,71556400.0
829,20230328,IHSG,0.673913043478261,0.6742081447963802,0.668141592920354,0.6960352422907489,87955300.0
830,20230329,IHSG,0.6695652173913045,0.6968325791855204,0.6769911504424779,0.7136563876651983,113504700.0
831,20230330,IHSG,0.6521739130434783,0.6923076923076924,0.68141592920354,0.7004405286343612,87690800.0
832,20230331,IHSG,0.6782608695652175,0.6787330316742083,0.6769911504424779,0.7004405286343612,93699000.0
833,20230304,IHSG,0.673913043478261,0.6877828054298644,0.668141592920354,0.7136563876651983,56896200.0
834,20230404,IHSG,0.6652173913043478,0.6787330316742083,0.668141592920354,0.7004405286343612,82969200.0
835,20230504,IHSG,0.673913043478261,0.7194570135746606,0.6991150442477876,0.7180616740088105,70419100.0
836,20230604,IHSG,0.7173913043478262,0.7647058823529413,0.7433628318584071,0.7577092511013215,125329700.0
837,20231004,IHSG,0.7391304347826086,0.7873303167420815,0.7566371681415931,0.7665198237885462,85757900.0
838,20231104,IHSG,0.7565217391304349,0.7873303167420815,0.7566371681415931,0.7929515418502202,84322900.0
839,20231204,IHSG,0.7695652173913043,0.7918552036199098,0.7787610619469028,0.7973568281938326,178923700.0
840,20230413,IHSG,0.7782608695652173,0.8054298642533939,0.7787610619469028,0.8105726872246695,119431600.0
841,20230414,IHSG,0.7782608695652173,0.8054298642533939,0.7831858407079646,0.8237885462555066,117305500.0
842,20230417,IHSG,0.7782608695652173,0.7737556561085974,0.7743362831858407,0.7929515418502202,59688000.0
843,20230418,IHSG,0.7347826086956522,0.7737556561085974,0.7477876106194692,0.7841409691629955,65644600.0
844,20230426,IHSG,0.8391304347826087,0.8325791855203621,0.845132743362832,0.8281938325991189,198984100.0
845,20230427,IHSG,0.8260869565217392,0.7963800904977378,0.8230088495575223,0.8149779735682818,58407000.0
846,20230428,IHSG,0.7478260869565219,0.7647058823529413,0.7654867256637168,0.7797356828193831,112116900.0
847,20230205,IHSG,0.7217391304347827,0.737556561085973,0.7212389380530975,0.7400881057268723,117097400.0
848,20230305,IHSG,0.7173913043478262,0.7194570135746606,0.7123893805309736,0.7180616740088105,158597800.0
849,20230405,IHSG,0.7043478260869565,0.7194570135746606,0.7079646017699115,0.7444933920704847,98421300.0
850,20230505,IHSG,0.7,0.7285067873303169,0.6991150442477876,0.7180616740088105,113408100.0
851,20230805,IHSG,0.7043478260869565,0.6787330316742083,0.7035398230088497,0.7004405286343612,121002600.0
852,20230905,IHSG,0.6521739130434783,0.6832579185520363,0.6637168141592922,0.6960352422907489,105907900.0
853,20231005,IHSG,0.6521739130434783,0.7104072398190046,0.68141592920354,0.7004405286343612,84306600.0
854,20231105,IHSG,0.673913043478261,0.6923076923076924,0.6769911504424779,0.709251101321586,74171300.0
855,20231205,IHSG,0.6521739130434783,0.6425339366515838,0.6460176991150444,0.6607929515418501,236777600.0
856,20230515,IHSG,0.6260869565217391,0.6425339366515838,0.6194690265486726,0.6519823788546256,113329300.0
857,20230516,IHSG,0.6391304347826088,0.6425339366515838,0.6327433628318584,0.656387665198238,68777200.0
858,20230517,IHSG,0.6217391304347826,0.6470588235294118,0.6327433628318584,0.6651982378854625,83183300.0
859,20230519,IHSG,0.6260869565217391,0.6606334841628959,0.6504424778761062,0.6696035242290749,95986000.0
860,20230522,IHSG,0.6304347826086958,0.6696832579185522,0.6592920353982301,0.6740088105726872,115578100.0
861,20230523,IHSG,0.6434782608695653,0.6696832579185522,0.6592920353982301,0.6960352422907489,132751000.0
862,20230524,IHSG,0.6391304347826088,0.7239819004524887,0.7123893805309736,0.6916299559471365,194127500.0
863,20230525,IHSG,0.7130434782608697,0.7058823529411765,0.7212389380530975,0.73568281938326,122121000.0
864,20230526,IHSG,0.691304347826087,0.7104072398190046,0.6946902654867257,0.7312775330396476,62211800.0
865,20230529,IHSG,0.682608695652174,0.742081447963801,0.7123893805309736,0.7224669603524229,77540300.0
866,20230530,IHSG,0.691304347826087,0.7058823529411765,0.7079646017699115,0.73568281938326,78924700.0
867,20230531,IHSG,0.682608695652174,0.6696832579185522,0.6946902654867257,0.7004405286343612,1155861400.0
868,20230506,IHSG,0.6565217391304348,0.6877828054298644,0.68141592920354,0.6916299559471365,189129300.0
869,20230606,IHSG,0.6695652173913045,0.6923076923076924,0.68141592920354,0.7048458149779736,95792700.0
870,20230706,IHSG,0.673913043478261,0.7194570135746606,0.6902654867256639,0.7180616740088105,127707400.0
871,20230806,IHSG,0.7,0.7285067873303169,0.7035398230088497,0.73568281938326,78989700.0
872,20230906,IHSG,0.7043478260869565,0.7194570135746606,0.6991150442477876,0.7444933920704847,83014700.0
873,20231206,IHSG,0.6478260869565218,0.6742081447963802,0.6460176991150444,0.6872246696035244,94687300.0
874,20230613,IHSG,0.6478260869565218,0.6651583710407242,0.6504424778761062,0.6960352422907489,69609000.0
875,20230614,IHSG,0.6391304347826088,0.6515837104072398,0.6415929203539823,0.6784140969162996,110730800.0
876,20230615,IHSG,0.6260869565217391,0.6606334841628959,0.6415929203539823,0.6740088105726872,85391800.0
877,20230616,IHSG,0.6391304347826088,0.6380090497737557,0.6371681415929205,0.6651982378854625,160978900.0
878,20230619,IHSG,0.6130434782608696,0.6334841628959277,0.6194690265486726,0.6607929515418501,54934100.0
879,20230620,IHSG,0.6217391304347826,0.6470588235294118,0.6194690265486726,0.6607929515418501,55155600.0
880,20230621,IHSG,0.6173913043478261,0.6425339366515838,0.6150442477876108,0.6607929515418501,60191300.0
881,20230622,IHSG,0.6217391304347826,0.6244343891402716,0.6194690265486726,0.656387665198238,56150900.0
882,20230623,IHSG,0.6043478260869566,0.6289592760180996,0.6061946902654869,0.656387665198238,41812400.0
883,20230626,IHSG,0.6043478260869566,0.6470588235294118,0.6194690265486726,0.656387665198238,36011500.0
884,20230627,IHSG,0.6434782608695653,0.6515837104072398,0.6371681415929205,0.6784140969162996,64879900.0
885,20230307,IHSG,0.6434782608695653,0.6515837104072398,0.6371681415929205,0.6696035242290749,75193200.0
886,20230407,IHSG,0.6304347826086958,0.6380090497737557,0.6283185840707965,0.6696035242290749,33974300.0
887,20230507,IHSG,0.6173913043478261,0.6425339366515838,0.6150442477876108,0.6607929515418501,43303000.0
888,20230607,IHSG,0.6173913043478261,0.6334841628959277,0.6194690265486726,0.6651982378854625,68088900.0
889,20230707,IHSG,0.6130434782608696,0.6334841628959277,0.6150442477876108,0.6607929515418501,50474800.0
890,20231007,IHSG,0.6130434782608696,0.6289592760180996,0.6150442477876108,0.656387665198238,65643300.0
891,20231107,IHSG,0.6086956521739131,0.6425339366515838,0.6194690265486726,0.6607929515418501,89768500.0
892,20231207,IHSG,0.6217391304347826,0.6425339366515838,0.6283185840707965,0.6696035242290749,73770400.0
893,20230713,IHSG,0.6130434782608696,0.6153846153846155,0.6106194690265487,0.6431718061674009,83009900.0
894,20230714,IHSG,0.6130434782608696,0.6199095022624436,0.6061946902654869,0.6475770925110133,64886900.0
895,20230717,IHSG,0.6086956521739131,0.6108597285067875,0.6106194690265487,0.6431718061674009,81399700.0
896,20230718,IHSG,0.6000000000000001,0.583710407239819,0.5929203539823009,0.6035242290748898,135860500.0
897,20230720,IHSG,0.5521739130434782,0.583710407239819,0.5619469026548674,0.5991189427312776,88907600.0
898,20230721,IHSG,0.5608695652173914,0.5882352941176471,0.5663716814159292,0.6123348017621145,53955100.0
899,20230724,IHSG,0.5782608695652174,0.6063348416289595,0.5929203539823009,0.6255506607929516,80710100.0
900,20230725,IHSG,0.5956521739130436,0.5972850678733032,0.5884955752212391,0.629955947136564,66434400.0
901,20230726,IHSG,0.5826086956521739,0.5972850678733032,0.5796460176991152,0.6079295154185022,86732900.0
902,20230727,IHSG,0.5608695652173914,0.5248868778280543,0.5619469026548674,0.5594713656387665,235026400.0
903,20230728,IHSG,0.5043478260869565,0.5248868778280543,0.513274336283186,0.5462555066079294,181626700.0
904,20230731,IHSG,0.5,0.5248868778280543,0.513274336283186,0.5374449339207049,153583300.0
905,20230108,IHSG,0.5,0.5384615384615384,0.5265486725663717,0.5506607929515418,97680500.0
906,20230208,IHSG,0.5173913043478262,0.5113122171945702,0.5088495575221239,0.5418502202643173,121333500.0
907,20230308,IHSG,0.4869565217391305,0.5248868778280543,0.5176991150442478,0.5374449339207049,82013300.0
908,20230408,IHSG,0.508695652173913,0.5113122171945702,0.5044247787610621,0.5462555066079294,67746800.0
909,20230708,IHSG,0.5,0.5067873303167422,0.5,0.5418502202643173,94909700.0
910,20230808,IHSG,0.491304347826087,0.5294117647058824,0.5176991150442478,0.5418502202643173,116329400.0
911,20230908,IHSG,0.5217391304347827,0.5475113122171947,0.5353982300884956,0.5682819383259913,129416100.0
912,20231008,IHSG,0.5434782608695652,0.5610859728506788,0.5486725663716816,0.5947136563876653,140158900.0
913,20231108,IHSG,0.5565217391304349,0.5656108597285069,0.5530973451327434,0.5903083700440529,109714400.0
914,20230814,IHSG,0.5478260869565217,0.574660633484163,0.5486725663716816,0.5770925110132158,86871800.0
915,20230815,IHSG,0.5434782608695652,0.5701357466063349,0.5486725663716816,0.5947136563876653,80015200.0
916,20230816,IHSG,0.5391304347826087,0.574660633484163,0.5486725663716816,0.5726872246696036,81507800.0
917,20230818,IHSG,0.5391304347826087,0.5429864253393667,0.5353982300884956,0.5770925110132158,108780100.0
918,20230821,IHSG,0.5260869565217392,0.5339366515837104,0.5265486725663717,0.5594713656387665,64449000.0
919,20230822,IHSG,0.5173913043478262,0.5384615384615384,0.5265486725663717,0.5638766519823789,98059600.0
920,20230823,IHSG,0.5217391304347827,0.5339366515837104,0.5221238938053099,0.5638766519823789,84842500.0
921,20230824,IHSG,0.5130434782608695,0.5248868778280543,0.5221238938053099,0.5594713656387665,82789700.0
922,20230825,IHSG,0.5,0.5248868778280543,0.5044247787610621,0.5506607929515418,42049200.0
923,20230828,IHSG,0.5130434782608695,0.5158371040723982,0.5088495575221239,0.5506607929515418,37727500.0
924,20230829,IHSG,0.5,0.5248868778280543,0.5,0.5506607929515418,53453600.0
925,20230830,IHSG,0.5130434782608695,0.5656108597285069,0.5575221238938053,0.5594713656387665,130027200.0
926,20230831,IHSG,0.5478260869565217,0.5294117647058824,0.5442477876106195,0.5506607929515418,227635800.0
927,20230109,IHSG,0.5043478260869565,0.5248868778280543,0.5088495575221239,0.5550660792951542,82253200.0
928,20230409,IHSG,0.508695652173913,0.5294117647058824,0.513274336283186,0.5550660792951542,55881900.0
929,20230509,IHSG,0.5130434782608695,0.5339366515837104,0.513274336283186,0.5550660792951542,62933300.0
930,20230609,IHSG,0.5217391304347827,0.5565610859728508,0.5398230088495577,0.5682819383259913,98673400.0
931,20230709,IHSG,0.5347826086956522,0.5429864253393667,0.5309734513274338,0.5638766519823789,63054500.0
932,20230809,IHSG,0.5304347826086957,0.5113122171945702,0.5221238938053099,0.5374449339207049,143090100.0
933,20231109,IHSG,0.5043478260869565,0.5158371040723982,0.4955752212389381,0.5418502202643173,76577500.0
934,20231209,IHSG,0.5,0.5203619909502263,0.5088495575221239,0.5506607929515418,72170600.0
935,20230913,IHSG,0.508695652173913,0.5203619909502263,0.5,0.5374449339207049,82635900.0
936,20230914,IHSG,0.5043478260869565,0.5067873303167422,0.5,0.5418502202643173,55532900.0
937,20230915,IHSG,0.491304347826087,0.5248868778280543,0.5265486725663717,0.5374449339207049,147757300.0
938,20230918,IHSG,0.5,0.5067873303167422,0.5,0.5418502202643173,40645900.0
939,20230919,IHSG,0.4956521739130435,0.5294117647058824,0.5088495575221239,0.5462555066079294,38375000.0
940,20230920,IHSG,0.5173913043478262,0.5656108597285069,0.5575221238938053,0.5682819383259913,171751900.0
941,20230921,IHSG,0.5478260869565217,0.5656108597285069,0.5530973451327434,0.5903083700440529,94880700.0
942,20230922,IHSG,0.5565217391304349,0.5882352941176471,0.5707964601769913,0.5991189427312776,101185700.0
943,20230925,IHSG,0.5478260869565217,0.5475113122171947,0.5486725663716816,0.5814977973568282,125817700.0
944,20230926,IHSG,0.5304347826086957,0.5429864253393667,0.5353982300884956,0.5726872246696036,74734500.0
945,20230927,IHSG,0.5217391304347827,0.5248868778280543,0.5265486725663717,0.5594713656387665,83337700.0
946,20230929,IHSG,0.5130434782608695,0.5384615384615384,0.5353982300884956,0.5638766519823789,66219300.0
947,20230210,IHSG,0.5217391304347827,0.5384615384615384,0.5265486725663717,0.5638766519823789,71945000.0
948,20230310,IHSG,0.5217391304347827,0.5475113122171947,0.5353982300884956,0.5682819383259913,61155100.0
949,20230410,IHSG,0.5434782608695652,0.5520361990950228,0.5353982300884956,0.5682819383259913,77527700.0
