tanggal,Adj Close,Close,High,Low,Open,volume_transaksi
2019-07-11,3216.63,0.6832579185520363,0.6902654867256639,0.6784140969162996,0.6956521739130435,125291200.0
2019-08-11,3248.24,0.7013574660633485,0.6769911504424779,0.6784140969162996,0.6347826086956523,70404800.0
2019-11-11,3240.34,0.6968325791855204,0.6769911504424779,0.7004405286343612,0.6478260869565218,57079800.0
2019-12-11,3303.57,0.733031674208145,0.7079646017699115,0.7048458149779736,0.6521739130434783,88251100.0
2019-11-13,3279.86,0.7194570135746606,0.6991150442477876,0.7268722466960352,0.6869565217391305,91925700.0
2019-11-14,3200.82,0.6742081447963802,0.68141592920354,0.6872246696035244,0.6782608695652175,123468500.0
2019-11-15,3224.53,0.6877828054298644,0.6637168141592922,0.6960352422907489,0.6652173913043478,50780500.0
2019-11-18,3161.31,0.6515837104072398,0.6504424778761062,0.6784140969162996,0.6478260869565218,104978700.0
2019-11-19,3177.11,0.6606334841628959,0.6327433628318584,0.6696035242290749,0.6304347826086958,113996600.0
2019-11-20,3232.44,0.6923076923076924,0.6637168141592922,0.682819383259912,0.6304347826086958,149185500.0
2019-11-21,3177.11,0.6606334841628959,0.6637168141592922,0.6916299559471365,0.6521739130434783,64005900.0
2019-11-22,3200.82,0.6742081447963802,0.6460176991150444,0.682819383259912,0.6434782608695653,76569400.0
2019-11-25,3121.79,0.6289592760180996,0.6548672566371683,0.656387665198238,0.6608695652173913,107581200.0
2019-11-26,3050.66,0.5882352941176471,0.6061946902654869,0.6211453744493393,0.6086956521739131,281002600.0
2019-11-27,3066.47,0.5972850678733032,0.5929203539823009,0.5947136563876653,0.5739130434782609,97511300.0
2019-11-28,3019.05,0.5701357466063349,0.5796460176991152,0.5947136563876653,0.5565217391304349,70635000.0
2019-11-29,3105.98,0.6199095022624436,0.6017699115044248,0.6123348017621145,0.5695652173913044,72146900.0
2019-02-12,3121.79,0.6289592760180996,0.6061946902654869,0.6519823788546256,0.6130434782608696,74263500.0
2019-03-12,3098.08,0.6153846153846155,0.597345132743363,0.6431718061674009,0.5956521739130436,74494000.0
2019-04-12,3153.4,0.6470588235294118,0.6194690265486726,0.6387665198237885,0.5956521739130436,64948300.0
2019-05-12,3208.73,0.6787330316742083,0.6592920353982301,0.6784140969162996,0.6260869565217391,118494800.0
2019-06-12,3240.34,0.6968325791855204,0.668141592920354,0.6916299559471365,0.6478260869565218,50682100.0
2019-09-12,3216.63,0.6832579185520363,0.6725663716814161,0.7048458149779736,0.6652173913043478,80864200.0
2019-10-12,3192.92,0.6696832579185522,0.6548672566371683,0.6872246696035244,0.6521739130434783,54824900.0
2019-11-12,3200.82,0.6742081447963802,0.6460176991150444,0.682819383259912,0.6347826086956523,79749500.0
2019-12-12,3121.79,0.6289592760180996,0.6460176991150444,0.6607929515418501,0.6478260869565218,147627000.0
2019-12-13,3153.4,0.6470588235294118,0.6327433628318584,0.6651982378854625,0.6304347826086958,81937300.0
2019-12-16,3137.6,0.6380090497737557,0.6327433628318584,0.6651982378854625,0.6173913043478261,86479200.0
2019-12-17,3145.5,0.6425339366515838,0.6194690265486726,0.6607929515418501,0.6173913043478261,91747200.0
2019-12-18,3153.4,0.6470588235294118,0.6238938053097347,0.6607929515418501,0.6130434782608696,101569300.0
